Dish Name,Description,Cuisine,Meal Type,Diet,Tags,Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Allergens
Japanese Cuisine - Vegetable Broth Fried Eggs with Mixed Vegetables,"A hearty vegan breakfast dish that's perfect for those who love a rich and savory taste. It includes fried eggs, sautéed mixed vegetables, and a creamy sauce made of soy sauce, miso paste, sesame oil, and mirin (sweet rice wine). Calories: 378 kcal",Japanese,Breakfast,Veg,"Japanese, Breakfast, Veg",445,10.5,37,37,None
Tofu and Spinach Stir-Fry,"A vegan stir-fry that includes tofu, spinach, scrambled eggs, and sesame oil. This dish is vegan and gluten-free and only contains 100 calories per serving.",Japanese,Breakfast,Veg,"Japanese, Breakfast, Veg",57,8.2,6.2,9.2,None
Miso Soup with Kale Salad,"A healthy vegan breakfast option featuring miso soup, kale salad, and poached eggs.",Japanese,Breakfast,Veg,"Japanese, Breakfast, Veg, Vegetarian, Miso Soup, Japanese Cuisine, Healthy, Vegan Breakfast",304,15.24,,22.86,None found in this recipe.
Veggie Hashbrown Casserole,A vegan and vegetarian version of a popular breakfast dish made with roasted vegetables and eggs.,Japanese,Breakfast,Veg,"Japanese, Breakfast, Veg, Vegetarian, Gluten-free, Low Carb, Dairy Free",125,6,,13,None
Katsu Tori,"A hearty breakfast dish made with fried chicken slices, sautéed veggies, eggs, and a flavorful sauce made from rice vinegar, soy sauce, and mirin. This breakfast dish is low in calories (42 kcal) and high in protein (15 g), fat (2 g), carbohydrates (7 g), and common allergens (dairy).",Japanese,Breakfast,Non-Veg,"Japanese, Breakfast, Non-Veg",42,15,2,7,None
Sashimi Rolls,"A refreshing breakfast topped with sliced cucumbers and creamy avocado, wrapped in nori sheets for added flavor and crunch. This dish is low in calories (around 50-60 kcal), high in protein (4g), and has common allergens (dairy, gluten, nuts, soy, eggs). It's also a healthy option that pairs well with veggies or other breakfast options.",Japanese,Breakfast,Non-Veg,"Japanese, Breakfast, Non-Veg",50,4,9,7,None
Kimchi Stew,"A hearty and flavorful stew of spicy kimchi and simmered vegetables, perfect for a satisfying breakfast.",Japanese,Breakfast,Non-Veg,"Japanese, Breakfast, Non-Veg, Vegetarian, Gluten-free, Low in Carbs, High in Protein, Nut-Free",280,9.6,14.7,35.6,None
Hojiki Noodle Breakfast,"A savory breakfast dish that combines boiled noodles and ingredients like eggs, tofu, dairy, seafood, and vegetables for an immensely nutritious and delicious meal.",Japanese,Breakfast,Non-Veg,"Japanese, Breakfast, Non-Veg, Vegan, Gluten-free, Low-carb, High-protein, Low-fat, Healthy, Whole-grains",610,12,14,78,None
Nabe-Gyoza Roll (Nabe-Gyoza),"A non-veg breakfast dish featuring a stir-fried eggplant and miso soup served in a tasty and filling nabe-gyozi roll. The roll is topped with savory gyoza, or steamed dumplings, for added protein and texture. Calories (kcal): 185",Japanese,Breakfast,Non-Veg,"Japanese, Breakfast, Non-Veg",,,27,30,None
Morning Munchies: Veggie-Filled Overnight Oats,"A vegan overnight oats recipe with mixed berries, chia seeds, almond milk, and a protein powder for a filling and nutrient-packed breakfast. Tags: Vegetarian, Gluten-Free, Nut-Free, Sweet Potato, Lettuce, Kale, Soy Protein, and Egg (if there are no eggs in the recipe)",Japanese,Breakfast,Non-Veg,"Japanese, Breakfast, Non-Veg",390,18,64,77,None
